FIPS,Metro Name,foreignshare,MetroArea,lat,lon,Updated
10420,"Akron, OH ",5.10%,"Akron, OH",41.148696,-81.348965,0.052158471
10580,"Albany, NY ",4.20%,"Albany-Schenectady-Troy, NY",42.788544,-73.941995,0.043882068
10740,"Albuquerque, NM ",2.60%,"Albuquerque, NM",35.12236,-106.471617,0.025084782
10900,"Allentown, PA-NJ ",6.80%,"Allentown-Bethlehem-Easton, PA-NJ",40.789457,-75.40365,0.068976142
12060,"Atlanta, GA ",6.80%,"Atlanta-Sandy Springs-Marietta, GA  Metro Area",33.697027,-84.437486,0.06754446
12260,"Augusta, GA-SC ",5.50%,"Augusta-Richmond County, GA-SC  Metro Area",33.435181,-81.946575,0.056747079
12420,"Austin, TX ",4.70%,"Austin-Round Rock-San Marcos, TX  Metro Area",30.262594,-97.6544,0.045888577
12540,"Bakersfield, CA ",4.70%,"Bakersfield-Delano, CA  Metro Area",35.342928,-118.72982,0.049139038
12580,"Baltimore, MD ",4.50%,"Baltimore-Towson, MD  Metro Area",39.345392,-76.585689,0.045136601
12940,"Baton Rouge, LA ",3.80%,"Baton Rouge, LA  Metro Area",30.570292,-91.130943,0.038632043
13820,"Birmingham, AL ",3.40%,"Birmingham-Hoover, AL  Metro Area",33.463831,-86.813901,0.033576507
14260,"Boise City, ID ",2.80%,"Boise City-Nampa, ID  Metro Area",43.016183,-116.143221,0.028870096
14460,"Boston, MA-NH ",6.60%,"Boston-Cambridge-Quincy, MA-NH  Metro Area",42.557926,-71.104346,0.06704624
14860,"Bridgeport, CT ",13.40%,"Bridgeport-Stamford-Norwalk, CT  Metro Area",41.273418,-73.388794,0.135675669
15380,"Buffalo, NY ",6.10%,"Buffalo-Niagara Falls, NY  Metro Area",42.909787,-78.734698,0.062734298
15980,"Cape Coral, FL ",2.40%,"Cape Coral-Fort Myers, FL  Metro Area",26.578922,-81.818485,0.02367649
16700,"Charleston, SC ",7.30%,"Charleston-North Charleston-Summerville, SC  Metro Area",33.044136,-80.050172,0.072392166
16740,"Charlotte, NC-SC ",7.10%,"Charlotte-Gastonia-Rock Hill, NC-SC  Metro Area",35.109606,-80.732259,0.068459183
16860,"Chattanooga, TN-GA ",6.10%,"Chattanooga, TN-GA  Metro Area",35.051945,-85.359131,0.063764237
16980,"Chicago, IL-IN-WI ",6.00%,"Chicago-Joliet-Naperville, IL-IN-WI  Metro Area",41.702689,-87.962886,0.059422512
17140,"Cincinnati, OH-KY-IN ",5.80%,"Cincinnati-Middletown, OH-KY-IN  Metro Area",39.08111,-84.464614,0.057844076
17460,"Cleveland, OH ",4.00%,"Cleveland-Elyria-Mentor, OH  Metro Area",41.375274,-81.683889,0.039067276
17820,"Colorado Springs, CO ",3.50%,"Colorado Springs, CO  Metro Area",38.842501,-104.657941,0.037087046
17900,"Columbia, SC ",5.50%,"Columbia, SC  Metro Area",34.091737,-81.042455,0.052517433
18140,"Columbus, OH ",4.90%,"Columbus, OH  Metro Area",40.041092,-82.935532,0.048437096
